Samples	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus
ERR1559249	0	537	0	0	10111	0	NSS	4136.60041641	4193.31168831169	9.5887944747	0.988963856874	0.885613898107	2377
ERR1559261	0	555	0	0	10068	0	NSS	4152.58976886	4019.68780487805	9.57784918735	0.990127039394	0.887314308053	2339
ERR1559276	0	538	0	0	10013	0	NSS	5636.87541595	5421.24952198853	9.97114492298	0.988165838217	0.84486966709	2974
ERR1559278	0	576	0	0	10085	0	NSS	4341.69679023	4155.53777777778	9.48299118862	0.981398887405	0.88107791447	2469
ERR1559309	0	536	0	0	10047	0	NSS	4590.2617194	4680.35046728972	10.0508064873	0.995352121425	0.872107780924	2642
ERR1559310	0	565	0	0	10030	0	NSS	4874.10312123	4779.93763676149	9.68531738064	0.986947561848	0.86577246916	2638
ERR1559316	0	565	0	0	10082	0	NSS	5105.74240884	4906.53722334004	9.93805208047	0.990741111294	0.860326458802	2784
ERR1559317	0	565	0	0	10103	0	NSS	4225.22173445	4045.28716904277	10.026302589	0.995388145447	0.88359375	2562
ERR1559319	0	584	0	0	10075	0	NSS	5000.02983623	4904.6289978678	10.0873904529	0.994858404438	0.862921348315	2745
ERR1559337	0	454	0	0	10097	0	NSS	4361.4588989	4191.27846534654	8.94899799039	0.978661161081	0.881138720407	2309
ERR1559342	0	430	0	0	10085	0	NSS	3292.43356143	3284.80132450331	8.59489319781	0.981459921097	0.909935458635	1845
ERR1559344	0	522	0	0	10027	0	NSS	5171.28954873	4994.1728515625	10.1271557548	0.994868675576	0.856584221332	2842
ERR1559352	0	557	0	0	10075	0	NSS	5262.978358	5213.94456289979	10.0491350531	0.994616087053	0.854947636292	2807
ERR1559363	0	511	0	0	10032	0	NSS	5283.88450647	4994.62271805274	9.41186956827	0.976873437741	0.855439350992	2729
ERR1559367	0	525	0	0	10086	0	NSS	4711.43058261	4503.93030973451	9.56841190542	0.987407983272	0.871722113503	2534
ERR1559372	0	567	0	0	10020	0	NSS	5570.88026624	5315.56445672192	9.88017671641	0.985691983852	0.845882352941	2943
ERR1559376	0	510	0	0	10055	0	NSS	4882.2021753	4644.75344036697	9.29546040448	0.978019559565	0.867942957609	2525
ERR1559384	0	553	0	0	10019	0	NSS	5457.38981482	5374.31496881497	9.89886264705	0.98608820955	0.84992178334	2880
ERR1559389	0	577	0	0	10023	0	NSS	5432.02041662	5241.06569343066	10.3853800373	0.996751680025	0.849423490326	3016
ERR1559403	0	573	0	0	9987	0	NSS	5925.63260344	5750.05614035088	10.4298796431	0.994796073005	0.834979947178	3190
ERR1559418	0	497	0	0	10056	0	NSS	4726.42207865	4642.33029612756	9.35203995752	0.977054337209	0.869412109948	2572
ERR1559421	0	556	0	0	10055	0	NSS	4782.14131204	4650.81481481481	9.58789110233	0.982839513001	0.867804256154	2619
ERR1559422	0	524	0	0	10072	0	NSS	4891.85888713	4961.7144638404	9.38277108531	0.979873610771	0.865681862649	2544
ERR1559424	0	522	0	0	10019	0	NSS	4935.6108619	4789.92105263158	9.68066838892	0.983510405084	0.863742918539	2700
ERR1559431	0	484	0	0	10077	0	NSS	4211.9506328	3985.5901826484	9.40014536035	0.984390011433	0.885513333985	2375
ERR1559433	0	533	0	0	10021	0	NSS	5527.97730467	5332	10.0602074307	0.992239116216	0.848085189527	2916
ERR1559452	0	539	0	0	10004	0	NSS	4761.83542347	4559.22577319588	9.72387417219	0.987717769938	0.868242245199	2655
ERR1559457	0	539	0	0	10075	0	NSS	5412.00012318	5331.58775510204	10.0852987341	0.994646470836	0.849995113847	2888
ERR1559458	0	545	0	0	10053	0	NSS	5016.5920792	4920.01680672269	9.88724580142	0.990648138163	0.860733496333	2756
ERR1559461	0	531	0	0	10079	0	NSS	4642.56620997	4387.71022727273	9.31620726824	0.980170454609	0.873550795834	2470
ERR1559476	0	552	0	0	10084	0	NSS	5086.0468651	5029.51585623679	9.98034822466	0.991718380225	0.858570029383	2799
ERR1559477	0	511	0	0	10054	0	NSS	5101.70524637	4788.60273972603	9.56597225191	0.981072826918	0.860001952553	2744
ERR1559478	0	578	0	0	10042	0	NSS	4971.5190256	5015.81720430108	10.0740987747	0.992770352674	0.861627224721	2799
ERR1559488	0	537	0	0	10017	0	NSS	4976.02995071	4938.9649122807	9.74290837894	0.985986272742	0.86198784552	2711
ERR1559495	0	546	0	0	10020	0	NSS	5383.59600261	5130.50399201597	10.1141019646	0.994223575213	0.853498827209	2858
ERR1559522	0	497	0	0	10056	0	NSS	5230.13589081	4976.21077504726	9.73198320308	0.984774795955	0.854926829268	2871
ERR1559554	0	546	0	0	10027	0	NSS	5587.15348037	5374.34426229508	10.1639203697	0.993692666821	0.844546431013	3027
ERR1559560	0	534	0	0	10046	0	NSS	5200.56409325	4869.2182320442	9.71762559152	0.982486024804	0.856278661333	2849
ERR1559567	0	566	0	0	10000	0	NSS	5509.79245567	5361.91291585127	9.9045852809	0.986408103152	0.847957787766	2932
ERR1559579	0	575	0	0	9980	0	NSS	6016.28106118	5743.36290322581	10.0851472086	0.990482351877	0.834737460815	3083
ERR1559580	0	589	0	0	9985	0	NSS	6037.64983696	5890.92565055762	10.3313565788	0.993665194435	0.833675564682	3152
ERR1559583	0	568	0	0	10053	0	NSS	5418.49414233	5167.80879541109	10.1548232883	0.993970232438	0.851142801328	2913
ERR1559589	0	524	0	0	10000	0	NSS	5699.10384593	5563.05179282869	10.0172867482	0.991148693613	0.843313470743	2950
ERR1559590	0	542	0	0	9988	0	NSS	5477.94238595	5352.83953033268	9.99342143002	0.989783530944	0.847431138894	2931
ERR1559594	0	546	0	0	10006	0	NSS	5992.28848042	5890.01391465677	10.5219228907	0.99744501918	0.834457148441	3172
ERR1559598	0	547	0	0	10058	0	NSS	4336.18730282	4218.01113861386	9.66822828953	0.994395835647	0.882191780822	2373
ERR1559606	0	594	0	0	10065	0	NSS	5456.61724887	5400.60905349794	10.432246018	0.998126449024	0.850029348464	2932
