Samples	EnvirTypes	ace	chao1	shannon	simpson	goods_coverage	observed_otus	BioProject	SRA_Study	Depth	Lat	Long	OTUhits	OTUs	percentOTUs	Readshit	Reads	percentReads	percentSize
ERR1559612	NSS	5575.592992	5369.379877	10.21033843	0.997038443	0.849325777	2875	PRJEB15061	ERP016752	0	41.840733	-88.230357	47	559	0.08408	1034	10063	0.10275	13
ERR1559618	NSS	5277.816884	5060.667984	10.29947692	0.99779235	0.855633803	2841	PRJEB15061	ERP016752	0	41.840733	-88.230357	47	608	0.0773	912	10099	0.09031	10
ERR1559621	NSS	4728.525751	4731.390693	9.900814537	0.99013349	0.867562004	2687	PRJEB15061	ERP016752	0	41.840733	-88.230357	46	561	0.082	935	10050	0.09303	10
ERR1559638	NSS	5167.488288	5121.168327	9.857693382	0.984769672	0.85516768	2875	PRJEB15061	ERP016752	0	41.840733	-88.230357	38	520	0.07308	882	10043	0.08782	10
ERR1559644	NSS	5460.623533	5278.152803	10.29977542	0.993492899	0.847694412	3045	PRJEB15061	ERP016752	0	41.840719	-88.230357	57	568	0.10035	1198	10013	0.11964	13
ERR1559649	NSS	5121.99642	4959.050412	9.847415753	0.990175053	0.858676557	2789	PRJEB15061	ERP016752	0	41.840719	-88.230357	28	512	0.05469	730	10099	0.07228	10
ERR1559674	NSS	4895.246305	4609.490971	9.077027867	0.986973314	0.866679699	2476	PRJEB15061	ERP016752	0	41.840715	-88.230357	37	433	0.08545	647	9986	0.06479	7
ERR1559686	NSS	4907.11767	4839.504246	9.715741153	0.986193689	0.862965497	2712	PRJEB15061	ERP016752	0	41.840715	-88.230357	47	557	0.08438	910	10050	0.09055	10
ERR1559700	NSS	5151.974253	5075.754926	9.375483638	0.97983892	0.861347027	2554	PRJEB15061	ERP016752	0	41.840726	-88.230357	47	519	0.09056	941	9996	0.09414	10
ERR1559723	NSS	4070.814798	3912.571244	9.211277399	0.983920355	0.889800703	2226	PRJEB15061	ERP016752	0	41.840717	-88.230357	41	519	0.079	872	10108	0.08627	10
ERR1559733	NSS	4842.423256	4759.898169	9.451242129	0.979072785	0.867272195	2588	PRJEB15061	ERP016752	0	41.840717	-88.230357	53	493	0.10751	1056	9947	0.10616	13
ERR1581950	NSS	4424.629493	4274.632832	9.484531944	0.995686171	0.88027824	2294	PRJEB15146	ERP016852	0	31.078	-97.39	21	258	0.0814	1232	9942	0.12392	13
ERR1581952	NSS	4666.787469	4510.710784	9.793582282	0.996987713	0.875134553	2420	PRJEB15146	ERP016852	0	31.078	-97.39	26	290	0.08966	1114	9995	0.11146	13
ERR1581955	NSS	4596.844797	4464.405128	9.64590509	0.996299341	0.876741904	2346	PRJEB15146	ERP016852	0	31.078	-97.39	28	300	0.09333	1324	9972	0.13277	13
ERR1581960	NSS	4867.59898	4811.191415	9.852436875	0.996962709	0.866412214	2546	PRJEB15146	ERP016852	0	31.078	-97.39	23	249	0.09237	1327	9987	0.13287	13
ERR1581961	NSS	4653.919512	4543.52	9.592276085	0.995336409	0.874315336	2395	PRJEB15146	ERP016852	0	31.078	-97.39	17	269	0.0632	1280	9964	0.12846	13
ERR1581962	NSS	4723.059883	4563.071125	9.955822699	0.997148197	0.869339345	2584	PRJEB15146	ERP016852	0	31.078	-97.39	21	271	0.07749	1132	9859	0.11482	13
ERR1581965	NSS	4808.934339	4780.863753	9.734681296	0.996639929	0.870450098	2443	PRJEB15146	ERP016852	0	31.078	-97.39	23	261	0.08812	1114	10012	0.11127	13
ERR1581968	NSS	4244.172047	4021.126263	9.576237635	0.99630133	0.886334735	2248	PRJEB15146	ERP016852	0	31.078	-97.39	18	263	0.06844	1002	10038	0.09982	10
ERR1581973	NSS	4160.576974	3960.564557	9.658040733	0.996916806	0.88816175	2257	PRJEB15146	ERP016852	0	31.078	-97.39	17	274	0.06204	837	10042	0.08335	10
ERR1581977	NSS	4893.206575	4893.805333	9.76064984	0.996676233	0.869327074	2455	PRJEB15146	ERP016852	0	31.078	-97.39	17	262	0.06489	1263	10030	0.12592	13
ERR1581978	NSS	4577.716131	4447.570513	9.78163001	0.997084446	0.877848411	2378	PRJEB15146	ERP016852	0	31.078	-97.39	15	258	0.05814	974	10000	0.0974	10
ERR1581979	NSS	4507.358312	4340.680481	9.618325954	0.996695127	0.880912741	2270	PRJEB15146	ERP016852	0	31.078	-97.39	18	275	0.06545	1139	10002	0.11388	13
ERR1581981	NSS	4360.905226	4405.876471	9.601502492	0.996564051	0.883352872	2254	PRJEB15146	ERP016852	0	31.078	-97.39	19	273	0.0696	1059	10039	0.10549	13
ERR1581986	NSS	3931.919762	3860.137363	9.6163435	0.996808265	0.892836229	2187	PRJEB15146	ERP016852	0	31.078	-97.39	22	265	0.08302	738	10068	0.0733	10
ERR1581998	NSS	4884.455441	4916.622691	9.926278667	0.997529373	0.868945313	2486	PRJEB15146	ERP016852	0	31.078	-97.39	16	271	0.05904	751	10041	0.07479	10
ERR1582004	NSS	4043.336856	4092.346278	9.452388017	0.996282419	0.892369243	2110	PRJEB15146	ERP016852	0	31.078	-97.39	17	246	0.06911	923	10039	0.09194	10
ERR1582010	NSS	4024.74351	3840.925197	9.42183582	0.995764569	0.891149144	2163	PRJEB15146	ERP016852	0	31.078	-97.39	16	251	0.06375	1162	9989	0.11633	13
ERR1582023	NSW	1134.146571	1146.489899	6.042861601	0.956110865	0.970073066	630	PRJEB15148	ERP016854	0	37.09	-95.71	0	140	0	0	10084	0	0
ERR1582032	NSW	987.1529	1053.347059	6.095817721	0.955441804	0.973750887	570	PRJEB15148	ERP016854	0	37.09	-95.71	0	148	0	0	10150	0	0
ERR1582083	NSW	971.260155	991.0136986	5.535663901	0.942247397	0.974489796	494	PRJEB15148	ERP016854	0	37.09	-95.71	0	110	0	0	10095	0	0
ERR1582088	NSW	620.5017911	619.8985507	5.523004977	0.93579683	0.984540195	395	PRJEB15148	ERP016854	0	37.09	-95.71	0	121	0	0	10186	0	0
ERR1582089	NSW	680.5734996	691.9393939	5.923446736	0.962650802	0.982680412	397	PRJEB15148	ERP016854	0	37.09	-95.71	0	124	0	0	10170	0	0
ERR1582090	NSW	637.4671038	672.1212121	5.91651058	0.962916597	0.983036823	404	PRJEB15148	ERP016854	0	37.09	-95.71	0	132	0	0	10186	0	0
ERR1582095	NSW	522.1177766	610.1893939	6.186394056	0.969498103	0.987704071	416	PRJEB15148	ERP016854	0	37.09	-95.71	0	162	0	0	10162	0	0
ERR1582110	NSW	818.9262201	891.03125	5.543396297	0.937841935	0.979022363	469	PRJEB15148	ERP016854	0	37.09	-95.71	0	124	0	0	10180	0	0
ERR1582111	NSW	427.6379448	462.6153846	5.440065425	0.954089467	0.989961236	315	PRJEB15148	ERP016854	0	37.09	-95.71	0	115	0	0	10164	0	0
ERR1582120	NSW	849.1610526	875.5064935	6.103537052	0.957828912	0.978254452	512	PRJEB15148	ERP016854	0	37.09	-95.71	0	141	0	0	10185	0	0
ERR1582133	NSW	1184.1452	1231.387097	6.407385218	0.972077978	0.968542714	637	PRJEB15148	ERP016854	0	37.09	-95.71	0	142	0	0	10097	0	0
ERR1582144	NSW	1709.977108	1734.03211	6.30290324	0.966720575	0.956798726	767	PRJEB15148	ERP016854	0	37.09	-95.71	0	143	0	0	10030	0	0
ERR1582145	NSW	1762.074036	1774.158879	6.390313557	0.968990411	0.956144722	777	PRJEB15148	ERP016854	0	37.09	-95.71	0	165	0	0	10056	0	0
ERR1582146	NSW	693.1550186	711.8050847	5.335046715	0.928818031	0.982652161	416	PRJEB15148	ERP016854	0	37.09	-95.71	0	111	0	0	10192	0	0
ERR1582155	NSW	724.7930213	745.0055556	6.368573528	0.976117215	0.980981912	475	PRJEB15148	ERP016854	0	37.09	-95.71	0	154	0	0	10109	0	0
ERR1582176	NSW	1404.562733	1410.883721	5.903939376	0.952829588	0.965465615	610	PRJEB15148	ERP016854	0	37.09	-95.71	1	113	0.00885	3	10063	3e-04	0
ERR1582226	NSW	1393.251665	1553.938889	6.096140731	0.950537666	0.963761694	707	PRJEB15148	ERP016854	0	37.09	-95.71	0	172	0	0	10118	0	0
ERR1582252	NSW	1557.398299	1536.784672	5.9712606	0.951493366	0.957843333	787	PRJEB15148	ERP016854	0	37.09	-95.71	0	151	0	0	9977	0	0
ERR1582282	NSW	1570.952367	1442.621324	6.026909101	0.953824561	0.958917937	748	PRJEB15148	ERP016854	0	37.09	-95.71	0	155	0	0	10018	0	0
ERR1582287	NSW	1533.927626	1568.78972	6.117143598	0.958397475	0.960411876	721	PRJEB15148	ERP016854	0	37.09	-95.71	0	157	0	0	9990	0	0
ERR1582302	NSW	951.1350711	1028.663366	6.640272464	0.975793392	0.97555158	591	PRJEB15148	ERP016854	0	37.09	-95.71	1	155	0.00645	15	10086	0.00149	2
ERR1582308	NSW	1030.226428	1017.014085	7.125740292	0.983744	0.9741	673	PRJEB15148	ERP016854	0	37.09	-95.71	1	189	0.00529	14	10124	0.00138	2
ERR1582327	NSW	819.6225738	920.2289157	5.990389854	0.936030542	0.979345785	531	PRJEB15148	ERP016854	0	37.09	-95.71	2	169	0.01183	13	10145	0.00128	2
ERR1582393	NSW	871.4689636	899.5353982	6.13700298	0.933681621	0.978192224	613	PRJEB15148	ERP016854	0	37.09	-95.71	1	213	0.00469	9	10159	0.00089	0
ERR1582416	NSW	986.8661096	1050.935484	6.72710667	0.966315479	0.974842137	626	PRJEB15148	ERP016854	0	37.09	-95.71	2	202	0.0099	29	10174	0.00285	2
ERR1582418	NSW	1059.809965	1063.635135	7.014839662	0.973554046	0.973133149	688	PRJEB15148	ERP016854	0	37.09	-95.71	4	208	0.01923	67	10180	0.00658	2
ERR1582420	NSW	1340.868811	1461.838843	7.160322746	0.975621636	0.964780372	824	PRJEB15148	ERP016854	0	37.09	-95.71	4	256	0.01562	31	10157	0.00305	2
ERR1582422	NSW	1692.623182	1687.130319	7.708359182	0.984943347	0.954613466	1037	PRJEB15148	ERP016854	0	37.09	-95.71	0	266	0	0	10057	0	0
ERR1582431	NSW	799.5588038	954.2571429	6.600766941	0.96684378	0.980274357	573	PRJEB15148	ERP016854	0	37.09	-95.71	0	248	0	0	10191	0	0
ERR1582436	NSW	1042.33653	1109.355932	7.113954764	0.976022199	0.973258269	701	PRJEB15148	ERP016854	0	37.09	-95.71	2	245	0.00816	18	10140	0.00178	2
ERR1582441	NSW	924.8243463	1013.975248	6.732007817	0.970005981	0.976472934	638	PRJEB15148	ERP016854	0	37.09	-95.71	1	253	0.00395	4	10171	0.00039	0
ERR1582451	NSW	1196.570525	1253.628906	6.826986059	0.966081441	0.96976882	752	PRJEB15148	ERP016854	0	37.09	-95.71	0	207	0	0	10058	0	0
ERR1582457	NSW	1252.690277	1303.264	6.62760386	0.954949835	0.967084328	755	PRJEB15148	ERP016854	0	37.09	-95.71	1	231	0.00433	5	10107	0.00049	0
ERR1582459	NSW	1119.780196	1218.963855	6.3106213	0.921454686	0.971445687	658	PRJEB15148	ERP016854	0	37.09	-95.71	0	223	0	0	10192	0	0
ERR1582462	NSW	1459.745645	1621.503546	7.528898324	0.981098269	0.961557713	929	PRJEB15148	ERP016854	0	37.09	-95.71	2	307	0.00651	24	10138	0.00237	2
ERR1582465	NSW	1119.598827	1117.421875	6.657307178	0.968048689	0.97268514	627	PRJEB15148	ERP016854	0	37.09	-95.71	1	196	0.0051	6	10157	0.00059	0
ERR1582469	NSW	1558.930882	1538.044444	7.531976211	0.984299732	0.958212536	959	PRJEB15148	ERP016854	0	37.09	-95.71	5	238	0.02101	83	10037	0.00827	2
ERR1582470	NSW	1229.853138	1344.210084	7.138524404	0.969288904	0.96746382	768	PRJEB15148	ERP016854	0	37.09	-95.71	1	270	0.0037	5	10139	0.00049	0
ERR1582481	NSW	1193.798772	1395.654545	7.200579076	0.975346522	0.96875317	800	PRJEB15148	ERP016854	0	37.09	-95.71	0	267	0	0	10103	0	0
ERR1582482	NSW	1210.023128	1246.928571	7.23349556	0.977524257	0.968572587	799	PRJEB15148	ERP016854	0	37.09	-95.71	0	276	0	0	10152	0	0
ERR1582491	NSW	981.106614	1073.226852	6.604569678	0.957649384	0.974177426	639	PRJEB15148	ERP016854	0	37.09	-95.71	0	243	0	0	10157	0	0
ERR1582494	NSW	1036.024091	1198.00641	6.803806939	0.97260839	0.973337328	631	PRJEB15148	ERP016854	0	37.09	-95.71	2	218	0.00917	20	10167	0.00197	2
ERR1582496	NSW	840.4181105	912.9230769	6.800161295	0.972869765	0.979313115	621	PRJEB15148	ERP016854	0	37.09	-95.71	1	237	0.00422	32	10175	0.00314	2
ERR1582535	NSW	1249.750191	1289.676056	7.477253835	0.983695666	0.968517231	821	PRJEB15148	ERP016854	0	37.09	-95.71	4	278	0.01439	22	10142	0.00217	2
ERR1582604	NSW	1902.467319	1831.225664	5.564735189	0.924622383	0.953545232	807	PRJEB15148	ERP016854	0	37.09	-95.71	1	127	0.00787	8	10039	8e-04	0
ERR1582618	NSW	873.8769302	971.0060976	6.357852036	0.962429143	0.976640159	574	PRJEB15148	ERP016854	0	37.09	-95.71	0	168	0	0	10132	0	0
ERR1582619	NSW	1427.318854	1328.722222	6.286520006	0.95099943	0.963241107	771	PRJEB15148	ERP016854	0	37.09	-95.71	0	181	0	0	9996	0	0
ERR1582620	NSW	1811.241399	1670.862275	6.737198548	0.966761979	0.953097518	938	PRJEB15148	ERP016854	0	37.09	-95.71	2	184	0.01087	12	9986	0.0012	2
ERR1582627	NSW	1219.85058	1399.826667	6.496818873	0.973311601	0.969047853	636	PRJEB15148	ERP016854	0	37.09	-95.71	0	141	0	0	10102	0	0
ERR1582631	NSW	1309.655968	1372.802752	6.552135687	0.956228972	0.965517241	749	PRJEB15148	ERP016854	0	37.09	-95.71	3	191	0.01571	84	10101	0.00832	2
ERR1582644	NSW	1427.375888	1411.126437	5.907738552	0.945677444	0.965523996	644	PRJEB15148	ERP016854	0	37.09	-95.71	0	117	0	0	10071	0	0
ERR1582662	NSW	1850.686781	1989.531532	6.832875828	0.972586243	0.953103583	889	PRJEB15148	ERP016854	0	37.09	-95.71	0	162	0	0	10016	0	0
ERR1582681	NSW	1213.525438	1149.84507	5.974842545	0.939453583	0.967605634	703	PRJEB15148	ERP016854	0	37.09	-95.71	0	167	0	0	10058	0	0
ERR1582705	NSW	1273.867982	1399.426316	6.154193737	0.927420771	0.966391509	733	PRJEB15148	ERP016854	0	37.09	-95.71	7	182	0.03846	206	10079	0.02044	4
ERR1582723	NSW	1148.704676	1112.826923	6.073245798	0.960981083	0.972413116	550	PRJEB15148	ERP016854	0	37.09	-95.71	0	115	0	0	10140	0	0
ERR1582725	NSW	1204.691464	1199.480769	6.806860251	0.977742875	0.969798328	675	PRJEB15148	ERP016854	0	37.09	-95.71	2	167	0.01198	23	10146	0.00227	2
ERR1582734	NSW	889.2115244	1030.973684	5.926798535	0.951658787	0.977707945	487	PRJEB15148	ERP016854	0	37.09	-95.71	0	124	0	0	10154	0	0
ERR1582747	NSW	1034.534647	1137.439189	6.468902738	0.965582683	0.973632621	601	PRJEB15148	ERP016854	0	37.09	-95.71	1	181	0.00552	24	10153	0.00236	2
ERR1582752	NSW	960.0606036	1041.625	6.285366035	0.968721261	0.9746635	567	PRJEB15148	ERP016854	0	37.09	-95.71	1	148	0.00676	18	10149	0.00177	2
ERR1582795	NSW	1057.303544	993.8529412	5.96598734	0.962052658	0.973895976	532	PRJEB15148	ERP016854	0	37.09	-95.71	0	112	0	0	10092	0	0
ERR1582812	NSW	1277.482476	1271.433673	6.439067765	0.971252173	0.968196497	670	PRJEB15148	ERP016854	0	37.09	-95.71	2	164	0.0122	71	10095	0.00703	2
ERR1582841	NSW	1168.778545	1144.019231	6.3903076	0.962443271	0.970118546	665	PRJEB15148	ERP016854	0	37.09	-95.71	1	157	0.00637	12	10134	0.00118	2
ERR1582873	NSW	1212.613111	1221.304762	6.538699117	0.968650807	0.968921569	686	PRJEB15148	ERP016854	0	37.09	-95.71	2	181	0.01105	79	10111	0.00781	2
ERR1582896	NSW	1029.432737	1057.061983	6.360612859	0.934251113	0.973262032	726	PRJEB15148	ERP016854	0	37.09	-95.71	1	272	0.00368	9	10138	0.00089	0
ERR1582898	NSW	949.6770845	987.1358696	5.613284556	0.929570444	0.974283471	570	PRJEB15148	ERP016854	0	37.09	-95.71	0	150	0	0	10156	0	0
ERR1582902	NSW	1296.493566	1234.529412	6.065553754	0.921859931	0.96484645	800	PRJEB15148	ERP016854	0	37.09	-95.71	0	235	0	0	10140	0	0
ERR1582916	NSW	1553.235786	1568.109489	6.587379701	0.952811492	0.959055118	865	PRJEB15148	ERP016854	0	37.09	-95.71	1	233	0.00429	4	10099	4e-04	0
ERR1582923	NSW	932.9186287	909.254902	6.209742402	0.960126534	0.975755167	557	PRJEB15148	ERP016854	0	37.09	-95.71	0	148	0	0	10129	0	0
ERR1582935	NSW	1169.003085	1134.153846	6.558994585	0.968532908	0.969607263	675	PRJEB15148	ERP016854	0	37.09	-95.71	0	172	0	0	10160	0	0
ERR1582938	NSW	1039.843022	1161.595238	5.87360487	0.925850929	0.972063109	628	PRJEB15148	ERP016854	0	37.09	-95.71	0	181	0	0	10113	0	0
ERR1582957	NSW	1654.456361	1660.625	6.599231156	0.968191785	0.958024691	824	PRJEB15148	ERP016854	0	37.09	-95.71	0	199	0	0	10119	0	0
ERR1582966	NSW	1149.790509	1203.284211	6.627478973	0.966020646	0.970923379	684	PRJEB15148	ERP016854	0	37.09	-95.71	2	192	0.01042	140	10138	0.01381	4
ERR1582983	NSW	1425.749182	1449.005376	6.013733693	0.952649562	0.964172291	676	PRJEB15148	ERP016854	0	37.09	-95.71	0	152	0	0	10103	0	0
ERR1582996	NSW	1658.59442	1679.151079	6.623895241	0.962391345	0.954114408	896	PRJEB15148	ERP016854	0	37.09	-95.71	0	203	0	0	10081	0	0
ERR1583011	NSW	1873.709135	1815.253521	6.769370289	0.967287553	0.951136477	934	PRJEB15148	ERP016854	0	37.09	-95.71	0	198	0	0	10060	0	0
ERR1589263	NSS	5121.934186	5099.913395	9.452459934	0.993802262	0.857792142	2474	PRJEB15163	ERP016869	0	37.552	-110.675	7	455	0.01538	118	9825	0.01201	4
ERR1589266	NSS	2601.532867	2631.268254	9.216448856	0.995689576	0.928268337	1712	PRJEB15163	ERP016869	0	37.55	-110.677	9	416	0.02163	196	10146	0.01932	4
ERR1589267	NSS	3722.892723	3844.840237	9.451434657	0.995819561	0.895728255	2010	PRJEB15163	ERP016869	0	37.55	-110.676	10	407	0.02457	217	9961	0.02178	4
ERR1589269	NSS	4064.181674	4358.715714	9.818929165	0.997359342	0.877162251	2178	PRJEB15163	ERP016869	0	37.55	-110.676	13	426	0.03052	304	9593	0.03169	7
ERR1589279	NSS	4076.138567	3981.770492	9.567673707	0.995595367	0.890362511	2202	PRJEB15163	ERP016869	0	37.551	-110.676	25	451	0.05543	505	10164	0.04969	7
ERR1589294	NSS	2797.536176	2939.599071	9.290948412	0.995492934	0.921325473	1809	PRJEB15163	ERP016869	0	37.55	-110.677	6	453	0.01325	112	10076	0.01112	4
ERR1589297	NSS	3529.752718	3494.229443	9.661841293	0.99684302	0.90285205	2127	PRJEB15163	ERP016869	0	37.55	-110.677	11	489	0.02249	186	10078	0.01846	4
ERR1589299	NSS	3044.857835	3196.611399	9.614565354	0.99645938	0.911506276	1972	PRJEB15163	ERP016869	0	37.55	-110.677	12	482	0.0249	227	9697	0.02341	4
ERR1589308	NSS	2561.818975	2890.89485	8.802801577	0.994300111	0.928937654	1480	PRJEB15163	ERP016869	0	37.472	-110.709	6	337	0.0178	108	9829	0.01099	4
ERR1589312	NSS	1928.80148	2074.192857	8.239933874	0.990803053	0.946608497	1177	PRJEB15163	ERP016869	0	37.472	-110.71	9	302	0.0298	168	10034	0.01674	4
ERR1589314	NSS	2330.187733	2405.380309	8.937625137	0.994297331	0.927965623	1478	PRJEB15163	ERP016869	0	37.472	-110.71	6	366	0.01639	181	10011	0.01808	4
ERR1589316	NSS	3062.554693	3347.563356	9.172045396	0.995774324	0.908103959	1695	PRJEB15163	ERP016869	0	37.472	-110.71	8	360	0.02222	284	9580	0.02965	4
ERR1589322	NSS	4303.779698	4229.821526	8.438714702	0.979216989	0.883448483	2076	PRJEB15163	ERP016869	0	37.495	-110.7	5	364	0.01374	83	9939	0.00835	2
ERR1589325	NSS	1834.10526	1947.002841	7.992149164	0.989715282	0.951070336	1118	PRJEB15163	ERP016869	0	37.502	-110.699	5	284	0.01761	80	10154	0.00788	2
ERR1589335	NSS	2078.441318	2130.670391	7.803586786	0.986283119	0.945280032	1137	PRJEB15163	ERP016869	0	37.496	-110.7	6	255	0.02353	94	10106	0.0093	2
ERR1589342	NSS	2571.98291	2659.50995	9.132783533	0.996266623	0.802061856	1133	PRJEB15163	ERP016869	0	37.501	-110.7	5	197	0.02538	83	9302	0.00892	2
ERR1589344	NSS	2826.439966	3081.015845	9.382465174	0.996769431	0.902530226	1649	PRJEB15163	ERP016869	0	37.501	-110.7	6	364	0.01648	117	8891	0.01316	4
ERR1589746	NSS	4126.282009	4100.036232	9.572020844	0.996554364	0.889607843	2171	PRJEB15174	ERP016879	0	20.098	-155.805	24	509	0.04715	424	10175	0.04167	7
ERR1589750	NSS	4758.154525	4671.719388	9.732287847	0.996339431	0.87226528	2429	PRJEB15174	ERP016879	0	20.098	-155.805	31	526	0.05894	383	10162	0.03769	7
ERR1589765	NSS	4793.584647	4486.122166	9.600371914	0.996414334	0.874546346	2344	PRJEB15174	ERP016879	0	20.105	-155.787	18	487	0.03696	243	10161	0.02391	4
ERR1589780	NSS	4096.149722	4377.393357	9.581281241	0.996387451	0.890836107	2127	PRJEB15174	ERP016879	0	20.109	-155.776	32	526	0.06084	438	10201	0.04294	7
ERR1589781	NSS	4119.048884	4118.017751	9.616813085	0.996298434	0.890315624	2181	PRJEB15174	ERP016879	0	20.109	-155.776	41	580	0.07069	545	10196	0.05345	7
ERR1589784	NSS	3237.532439	3169.412903	8.666897179	0.98846899	0.911539218	1791	PRJEB15174	ERP016879	0	20.109	-155.776	30	476	0.06303	969	10182	0.09517	10
ERR1589797	NSS	2766.731883	2709.559471	8.095575019	0.988290066	0.928032899	1415	PRJEB15174	ERP016879	0	20.108	-155.77	22	390	0.05641	496	10181	0.04872	7
ERR1589809	NSS	3871.770874	3740.591867	9.200316411	0.995054142	0.896897093	1998	PRJEB15174	ERP016879	0	20.123	-155.764	28	488	0.05738	376	10174	0.03696	7
ERR1589816	NSS	2010.471025	1973.979381	7.917736753	0.985193842	0.947296238	1179	PRJEB15174	ERP016879	0	20.126	-155.764	10	312	0.03205	115	10195	0.01128	4
ERR1589823	NSS	2817.473017	2767.475336	8.122506106	0.989331822	0.926239182	1408	PRJEB15174	ERP016879	0	20.123	-155.772	24	345	0.06957	230	10153	0.02265	4
ERR1589826	NSS	3794.554817	3793.025194	8.746046112	0.992324501	0.902086204	1791	PRJEB15174	ERP016879	0	20.123	-155.772	18	394	0.04569	273	10168	0.02685	4
ERR1589840	NSS	1998.931019	2020.136364	7.926031135	0.987571532	0.947740668	1137	PRJEB15174	ERP016879	0	20.109	-155.727	6	322	0.01863	63	10195	0.00618	2
ERR1589851	NSS	1815.702166	1836.347222	7.438168385	0.984346434	0.953001077	967	PRJEB15174	ERP016879	0	20.122	-155.774	5	286	0.01748	107	10196	0.01049	4
ERR1589852	NSS	3657.590292	3572.001453	9.27998727	0.995374643	0.900893822	1991	PRJEB15174	ERP016879	0	20.122	-155.774	46	509	0.09037	717	10167	0.07052	10
ERR1589915	SLS	1035.672959	1099.075	5.552754947	0.937747096	0.975122429	485	PRJEB15175	ERP016880	0	31.85	87.47	1	156	0.00641	4	10193	0.00039	0
ERR1589920	NSLS	1634.362955	1705.446429	6.753043038	0.974124907	0.958321104	831	PRJEB15175	ERP016880	0	29.21	87.4	0	269	0	0	10211	0	0
ERR1590022	SLS	837.787958	902.4	6.517872736	0.974030471	0.978495679	538	PRJEB15178	ERP016883	0	37.475383	-121.9729	0	190	0	0	10178	0	0
ERR1590023	SLS	1022.438731	1151.25	6.918383595	0.979540882	0.974321133	621	PRJEB15178	ERP016883	0	37.474067	-121.973033	0	238	0	0	10175	0	0
ERR1590026	SW	2965.897071	2949.960526	7.074559326	0.967345264	0.930022573	1169	PRJEB15178	ERP016883	0	17.973633	-67.014783	6	244	0.02459	58	10170	0.0057	2
ERR1590027	SW	3068.387567	3074.8	7.133372233	0.974077277	0.930157171	1152	PRJEB15178	ERP016883	0	17.973633	-67.014783	5	245	0.02041	60	10121	0.00593	2
ERR1590029	SW	3013.615498	2979.882353	6.682635341	0.947379714	0.929946944	1163	PRJEB15178	ERP016883	0	17.975017	-67.01375	2	228	0.00877	35	10105	0.00346	2
ERR1590030	SLW	781.6237402	804.7368421	5.560099538	0.931461634	0.979771939	518	PRJEB15178	ERP016883	0	17.954767	-67.196933	0	216	0	0	10181	0	0
ERR1590031	SLW	774.6007011	839.1328125	4.970208374	0.894659437	0.980074598	451	PRJEB15178	ERP016883	0	17.95385	-67.196717	0	165	0	0	10169	0	0
ERR1590032	SLW	884.44773	901.4835165	5.114179553	0.903789509	0.976842312	515	PRJEB15178	ERP016883	0	17.95435	-67.196183	0	168	0	0	10167	0	0
ERR1590039	SLS	1297.918609	1391.6	7.454043921	0.975925569	0.966861792	861	PRJEB15178	ERP016883	0	17.950367	-67.19295	1	399	0.00251	4	10162	0.00039	0
ERR1590041	SLS	1530.148724	1560.736842	8.044163678	0.989370857	0.960674157	1043	PRJEB15178	ERP016883	0	17.950617	-67.193417	9	450	0.02	86	10144	0.00848	2
ERR1591091	NSS	7196.732428	6899.180492	10.96332321	0.999012133	0.800728562	3615	PRJEB15194	ERP016900	0	35.117	138.937	50	740	0.06757	700	10033	0.06977	7
ERR1591093	NSS	6672.014729	6442.450586	10.79967613	0.998815792	0.807478368	3360	PRJEB15194	ERP016900	0	35.117	138.937	50	721	0.06935	846	10049	0.08419	10
ERR1591094	NSS	7308.988275	7137.058824	10.8491581	0.998801574	0.799822328	3552	PRJEB15194	ERP016900	0	35.117	138.937	46	691	0.06657	822	10031	0.08195	10
ERR1591095	NSS	6495.58301	6092.051259	10.4796145	0.998002577	0.825457767	3159	PRJEB15194	ERP016900	0	35.117	138.937	43	665	0.06466	861	10082	0.0854	10
ERR1591102	NSS	7253.850922	7028.883659	10.51027171	0.997595698	0.806170886	3349	PRJEB15194	ERP016900	0	35.117	138.937	35	638	0.05486	530	9997	0.05302	7
ERR1591104	NSS	6260.038252	6082.8659	10.66209322	0.998571393	0.774419219	2915	PRJEB15194	ERP016900	0	35.117	138.937	38	573	0.06632	513	9780	0.05245	7
ERR1591107	NSS	7455.550118	7202.592105	10.89800861	0.998785625	0.798029557	3581	PRJEB15194	ERP016900	0	35.117	138.937	44	745	0.05906	704	10053	0.07003	10
ERR1591115	NSS	6943.367917	6888.710801	10.61494198	0.998030629	0.809057649	3374	PRJEB15194	ERP016900	0	35.117	138.937	43	664	0.06476	821	10005	0.08206	10
ERR1591118	NSS	7090.639765	6925.078856	10.74058498	0.998383616	0.807114081	3448	PRJEB15194	ERP016900	0	35.117	138.937	41	679	0.06038	736	10079	0.07302	10
ERR1591121	NSS	7248.848266	7161.314908	10.88615717	0.99872783	0.800687623	3581	PRJEB15194	ERP016900	0	35.117	138.937	51	717	0.07113	768	10060	0.07634	10
ERR1591122	NSS	7384.593798	7160.987664	10.87111873	0.998713718	0.797905966	3578	PRJEB15194	ERP016900	0	35.117	138.937	40	688	0.05814	606	10070	0.06018	7
ERR1591124	NSS	7167.424768	7038.72069	10.8963989	0.998946071	0.799858771	3481	PRJEB15194	ERP016900	0	35.117	138.937	43	721	0.05964	730	9988	0.07309	10
